Id,Character,Description,Quote,Linkimage
82,Santiago,"An old man with a feud on the water off a Cuban coast. For eighty-four, tiresome days Santiago casts his line out with no bite as a nearby town mocks him. His waiting and hoping mirrors the same among humanity from Adam down. Then suddenly, he violently  tugs and pulls at a large marlin. So the man versus nature battle plays out. Suffering with hubris and tantalizing hope, Santiago succumbs to defeat as sharks devour his catch. With the defeat, we feel for the old man on the usual trajectory of meek stories: hoping, waiting, loving, waiting, then losing and dying.",,Santiago.jpg
83,Seven of Nine,"Once part of the collective mind known as the Borg then forced out into the automaton assimilation of alien races, now the soul-torn being continuously fighting for her humanity. Rather then the unfeeling existence of a Borg drone, Seven of Nine attempts to find her individuality through many ups and downs. During such a turbulent journey, the beautiful space woman learns a little about human nature adn the great hope of being unique. So thought after thought, feeling after feeling, Seven of Nine's robotic coat of arms are exchanged for living flesh and a conscious mind without resistance. She gladly takes some chaos instead of following the all-powerful, stagnant, stifling order. ",,SevenOfNine.jpg
84,Silver Surfer,"The noble herald of an all-powerful planet devourer who exhibits compassion to its highest. Once a restless citizen of a Utopian world, Silver Surfer gave up his freedom and sacrificed himself for a planet to become a sentinel of the space ways. After personally witnessing the breathtaking beauties of Earth, the sensitive Silver Surfer rebels against his master in roaming the cosmos for planets to feed on. His rebellion sentences him to prison within Earth. Thus, this tragic, soul-torn, sentient being proves to be a benevolent alien; a contemplative philosopher; a gentle poet; an astute journalist, pure in heart and true in spirit, who shows us how Earth truly is a Garden of Eden.",,SilverSurfer.jpg
85,Soap Opera Girl,"A subway terminal passenger who only wanted a more human world; a sensitive, simple stranger tired of society's hustling and bustling, scurrying and hurrying through life. This unnamed darling who wanted every poet's heartrending hope to come true: to slow down the pace, smell the flowers, connect with friends and strangers, soak the atmosphere, loiter in the sun, harken to people's hearts, cherish human moments. But we know all too well the polite, efficient, robotic life we manuever through. Yet a beautiful tender young lady, able to stop one's rushing ways, opens to us the lost beauty of simply surviving day to day.","Hey. Could we do that again? I know we haven't met, but I don't want to be an ant. You know? I mean, it's like we go through life with our antennas bouncing off one another, continously on ant autopilot, with nothing really human required of us. Stop. Go. Walk here. Drive there. All action basically for survival. All communication simply to keep this ant colony buzzing along in an efficient, polite manner. ""Here's your change."" ""Paper or plastic?' ""Credit or debit?"" ""You want ketchup with that?"" I don't want a straw. I want real human moments. I want to see you. I want you to see me. I don't want to give that up. I don't want to be ant, you know?",SoapOperaGirl.jpg
86,Soldier Boy,"A sad, innocent kid who instead of receiving a female peer's fond embrace or male friend's extended hand, was given a bayonet, some grenades, and all the lonely bunkers and trenches to waste away childhood idealism. His entire service in the armed forces was the unyielding routine and regiment, destruction and death. The poor, hapless soldier lad, who paraded in violent platoons and infantries, an infant himself, sadly endures mornings that melt into evenings with meal breaks of rum and despair. Then, when we hear of his voluntary, premature death we are quick to castigate hims rather than the horrible invention of mankind, war, that forced him to it. ",,SoldierBoy.jpg
87,"Speaker, A Winter Piece","The agitated poet caught in the cares of life finds refuge in the tranquil ambience of a winter scene. Among dead tree limbs and the dearth of vegetation, the speaker feels one with nature's spoils. Rained down by the ills of existence, the lonely poet finds companionship and belonging in the barren woods. We feel his pain melt away. He soon forgets his strife and becomes engulfed in the merry hum of bee, the feathery snow, the fountain's brink, the fresh, sylvan air, the fringe of summer flowers, the rain that glazed the snow, the massy trunks cased in pure crystal...","The time has been that these wild solitudes,/Yet beautiful as wild, were trod by me/Oftener than now; and when the ills of life/Had chafed my spirit--when the unsteady pulse/Beat with strange flutterings--I would wander forth/And seek the woods. The sunshine on my path/Was to me as a friend. The swelling hills,/The quiet dells retiring far between,/With gentle invitation to explore/Their windings, were a calm society/That talked with me and soothed me. Then the chant/Of birds, and chime of brooks, and soft caress/Of the fresh sylvan air, made me forget/The thoughts that broke my peace, and I began/To gather simples by the fountain's brink,/And lose myself in day-dreams.",SpeakerWinterPiece.jpg
88,"Speaker, The Suicide","A sensitive dame, heart-bleeding and soul-wrenching, from her arch nemesis, Life. Starved and mocked, emotionally battered and bruised, this unnamed narrator yearns for peace and freedom. With all dreams dissolved, all songs quieted, she cries out with all she ever wanted: a childhood home and playing freely in the sun. Lament after lament, she finally escapes out through a certain door. To her great joy and hope, once crushed to dust in life, she finds her house on a hill, a loving father, songs never to be hushed, and a sun always to be enjoyed.",,SpeakerTheSuicide.jpg
89,Spiderman,"The friendly, neighborhood hero who wall crawls and swings off buildings on behalf of New York City. Yet underneath the mask and costume is the scientific-minded Peter Parker filled with insecurities and inadequacies. A nerd who never rose stellar on the job or won the girl is nonetheless the witty Spiderman saving the city of goblins and kingpins. Constantly challenged and tested beyond superhuman endurance, shunned at times by a city, losing loves and friends in an entangled web of mutants and crime, Spiderman fights for the little things: a sick girl, a dedicated co-worker, a lost uncle.",,Spiderman.jpg
90,Steve Urkel,"America's well-known nerd who stood up for the millions of highly intelligent pupils with social awkwardness. Clad in red suspenders, high-water pants, and thick-rimmed glasses, Steve Urkel has turned the looked down upon geek into a dignified hero. Nonetheless, poor Steve finds himself always stumbling into accidents, mumbling to girls and peers. He suffers frequent ridicules, taunts, and self-inadequacies but his meek, lowly spirit holds a mirror up to human nature, helping to show the narcissistic, egotistic mankind the error of its shallow ways.",,SteveUrkel.jpg
91,The Terminator,"Once a determined machine bent on destruction and death, now a learning machine here to serve and protect. From a world of darkness and war, the Terminator must return to a past to save a future. In the gruesome combat against an impossible foe, the Terminator fights to its death, sacrificing himself in the end. Yet he learns along the way the human ways of loyalty, sympathy, and friendship. More than knowledge banks and memory chips in a local mainframe, a soul is present. Who knew robots, machines, could mirror human nature? Who knew a terminator could cherish the value of life?","The unknown future rolls toward us. I face it, for the first time, with a sense of hope. Because if a machine, a Terminator, can learn the value of human life, maybe we can too.",TheTerminator.jpg
92,The Thing,"The rock-skin creature of enormous power and strength yet carries a heart bleeding of self-pity. From a radioactive space accident, the Thing formerly Ben Gordon, a normal looking human being has become a pithy, down-to-earth, monstrous crime-stopper. Among a quartet of superheros, the Thing has found his place. But after the clobberin' time, the galaxy wars, the super villains, he feels ugly and ashamed of his appearance. Even with a blind girlfriend who sees his beautiful, noble soul, the Thing feels inadequate. And when told 'beauty lies within', he nods, sighs, and shrugs his shoulders in silence as he walks away.",,TheThing.jpg
93,The Tramp,"The always romantic vagabond who turned life's black and white silent show into a rich, colorful golden symphony. Hard-luck by the stringent economic insecurities of the times, this playful little tramp always makes the most of his poor, downtrodden existence. Always a girl's affections to win and a normal life to muster, the lovable tramp frolics and dances into the hearts of many generations. Ultimately, the tramp reminds us all of the unique beauty, long-lasting and worthwhile, that can be found in the dirtiest of slums, the most ragged of people, and the worst conditions of life.",,TheTramp.jpg
94,Thereza Ambrose,"The suicidal, young ballerina saved at the last minute. Sunken with the despair of all aimless life and unfortunate family, Thereza is paralyzed in body and mind. But a friend, a stranger, a neighbor, lifts her up and recaptures her desire for life. She slowly gains her walking ability and then the grace of her dancing ability. Through it all she pours out a sad gentleness and re-awakened aura born out of friendship and human care. The spotlight and limelight of show business pales to her spirit. The cheers and applause are hushed to the music of her love. So we watch as she twirls, spins, and sways into our rigid, lackluster hearts.",,TherezaAmbrose.jpg
95,Tiny Tim,"The sweet, lovable young boy wrought in the deprivation of England's poor. Despite being crippled at birth, Tiny Tim has not proven crippled in heart. With a mild temperament infused with a gentle humor and a benevolent spirit, a sparkling gem grew in the dirty, cold repugnance of urban poverty. A crutch at hand, a loving nature in soul, Tiny Tim has been welcomed by all even ruthless and callous men. He has indeed the child essence of God who sought inexpensive joy with his family and reminds all people who made lame beggars walk and blind men see.","He told me, coming home, that he hoped the people saw him in the church, because he was a cripple, and it might be pleasant to them to remember upon Christmas Day, who made lame beggars walk, and blind men see.",TinyTim.jpg
96,Tod Clifton,"The clean-dressed, eloquent, handsome African American leader of a revolutionary cause who is gunned down by the police on a street on a hot summer day. Part of a Brotherhood to organize a movement and disenfranchised people, Tod Clifton fought hard street corner after street corner until his death. He met his match though on one street corner where Sambo dolls were sold. A policeman with an eager finger put the Harlem youth leader in his place. Tod was an idealistic hope that died young, a hero of a lost cause, a human who died like a dog in a road.","Think of your own brother or your cousin John. His lips were thick with an upward curve at the corners. He often smiled. He had good eyes and a pair of fair hands, and he had a heart. He thought about things and he felt deeply. I won't call him noble because what's such a word to do with one of us? His name was Clifton, Tod Clifton, and, like any man, he was born of woman to live awhile and fall and die. So that's his tale to the minute. His name was Clifton and for a while he lived among us and aroused a few hopes in the young manhood of man, and we who knew him loved him and he died...His name was Clifton, Tod Clifton, he was unarmed and his death was as senseless as his life was futile. He had struggled for Brotherhood on a hundred street corners and he thought it would make him more human, but he died like any dog in a road.",TodClifton.jpg
97,Tommy Wilhelm,"The agitated, middle-aged man who finds himself alienated and on the brink of total failure. Separated from his wife and sons, distanced from a father, Tommy will refute the poet's line -""no man is an island complete unto himself."" From an actor to salesman with odd jobs in between, Tommy holds up a disappointing resume of life. And on a Day of Reckoning, he tries desperately with a cold father and shot at the stock market. Thoughts and emotions crowd in him as New York pounds down on him. In the distance is a funeral that carries a message to the iconic middle-class, frustrated man caught on hard times.",,TommyWilhelm.jpg
98,Trip,"A defiant, hateful runaway slave who eventually becomes one of the bravest heroes of the 54th Massachusetts Regiment during the Civil War. Torn into bits and pieces of rage and revenge due to blatant racism, countless lashes from the whip, and ruthless chases by hounds, Trip epitomizes the dispossessed soldier of the Union army. Yet despite the anguish poverty, the Negro ex-slave becomes a noteworthy fighter and learns the everlasting beauty of family and friends and camaraderie. Though he won himself a grave, Trip won the chance to fight against humanity's cruelest system, slavery.","I ain't much about no prayin', now. I ain't never had no family, and... killed off my mama. Well, I just... Y'all's the onliest family I got. I love the 54th. Ain't even much a matter what happens tomorrow, 'cause we men, ain't we?",Trip.jpg
99,"Weary Slave, Banjo Song","The weary slave who after a long, arduous day finds peace and solace with a banjo and singing family. An old-fashioned man who would gladly exchange heaven's harps with a country banjo. With a wife, children, and gray-haired granny to sing alongside, we see sorrow, daily cares, aches, pains, troubles, disappear into song and laughter. The whole human saga of pain and joy rings in his heart. The black and white world is colored with tunes. Not minding the poor and rough sound, we learn the breadth and purpose of music; the love of family; the powerful testimony of the poor and meek.","Oh, de music o' de banjo,/Quick an' deb'lish, solemn, slow,/Is de greates' joy an' solace/Dat a weary slave kin know!/So jes' let me hyeah it ringin',/Dough de chune be po' an' rough,/It's a pleasure; an' de pleasures/O' dis life is few enough.",WearySlave.jpg
100,Winston,"Caught in an overly scrutinized, dystopic London, Winston moves robotically through the eyes of Big Brother and chase of the Thought Police. Any thought veering out of the groupthink, citizens are apprehended and vaporized. But Winston becomes an unknowing rebel who keeps a personal journal and illicit photograph. Slowly he even melts away his robotic nature for a human soul moved by one innocent note long thought to be alien words -""I love you."" Of course, the rebel loses, beaten and tortured to death but an inkling of human consciousness remains.","For some reason Winston suddenly found himself thinking of Mrs Parsons, with her wispy hair and the dust in the creases of her face. Within two years those children would be denouncing her to the Thought Police. Mrs Parsons would be vaporized. Syme would be vaporized. Winston would be vaporized. O'Brien would be vaporized. Parsons, on the other hand, would never be vaporized. The eyeless creature with the quacking voice would never be vaporized. The little beetle-like men who scuttle so nimbly through the labyrinthine corridors of Ministries they, too, would never be vaporized. And the girl with dark hair, the girl from the Fiction Department —she would never be vaporized either. It seemed to him that he knew instinctively who would survive and who would perish: though just what it was that made for survival, it was not easy to say.",Winston.jpg
101,Gary Hobson,"The everyman who somehow gets tomorrow's paper today but doesn't use it for personal gain but uses it on a crusade to save lives from children to adults. Mr. Hobson becomes an unpublished hero going out of his way and time for no medals, plaques, bonuses, or applause. He surmounts extraordinary feats to save strangers and acquaintances, old and young, rich and poor, nameless and famous for nothing more than the right thing to do. If any wonder if heroes only come with superpowers, fly in the sky and wear capes, follow Gary Hobson through the streets of Chicago, rolled up sleeves, sneakers, jeans and paper in hand on yet another mission to save the day as a regular guy","Sometimes that's all a hero is, Chuck - the guy who's there.",GaryHobson.jpg
102,Bolie Jackson,"A washed up boxer weary of the world, seen enough dashed dreams and hopes to no longer believe in magic and sees the world as hard and cold as a concrete sidewalk. Bruised and beaten, pounded and pummeled, through the anguish years, Bolie Jackson wears the scars of his soul out in the open. But a little boy comes to teach him about wishes, about magic, about believing. And then an episodic moment between flash of stadium lights, the piercing shouts of crowds, the knockout fists of sluggers, Bolie somehow begins to believe. And no longer is a concrete world a lasting thing. And the true prize of a prizefighter isn't weighed in gold but believing in ideals higher than gold and glory.","Little boys. Little boys with their heads full up with dreams. When do they find out, Frances? When do they suddenly find out that there ain't any magic? When does somebody push their face down on the sidewalk and say to them, 'Hey, little boy, it's concrete. That's what the world is made out of, concrete.' When do they find out that you can wish your life away?",BolieJackson.jpg
103,Aloysius T. McKeever,"The New York City hobo who squats in rich homes during drifting seasons, Alyosius T. McKeever goes on merry adventures with a trusted sidekick. And one unlikely winter he finds a family among strangers, among the impoverished and unemployed, left-outs and left-behinds or so he thinks. But through the days, the missions, the meals, the songs, the laughter, Alyosius helps to show us what makes a home, meaning of true love, the festive Christmas spirit, the truly rich man. All in all, his weary wanderings from cityscapes to countrysides and back, we learn the worst poverty isn't the rags, eating out of garbage cans, being homeless but doing so alone without friends.",Tomorrow we must put the house in order so that everything will be just as we found it. Tonight is our last night together. Our paths may never cross again. And I would like to feel that you're all my friends. For to be without friends is a serious form of poverty.,AloysiusTMcKeever.jpg
104,Chris Adams,"Gun-toting hired gun amid the Western badlands, Chris Adams saves a tiny, poor farming village from ravenous, bullying locusts. With help of six others, Chris leads a defensive charge for more than the money but for an honor, a law higher than courts. But still Chris is a wanderer. He fights the enemy, seeing the bullets, the blood and bone, then continues on like the wind. No warm home waits for him. No family is his. Just bartenders, faro dealers, rented rooms, hash houses, dusty streets, and weary horizons. So even the sharpest shooter, the tough guy who surmounts any odd, beats every enemy, wins every death-defying challenge can still lose.","Only the farmers have won. They remain forever. They are like the land itself. You helped rid them of Calvera the way a strong wind helps rid them of locusts. You are like the wind, blowing across the land and... passing on. Vaya con Dios...The old man was right. Only the farmers won. We lost. We always lose.",ChrisAdams.jpg
105,Long John Willoughby,"The unlikely crusader of the common man, Long John Willoughby becomes an overnight hero. From a pledge to commit suicide on Christmas Eve because of the ills of the modern times, Long John gained attention somehow of the media, powerbroker elites, and politicans. Like the first John Doe, Long John beings a campaign of hope and fellowship to rejuvenate the human spirit, to look out for neighbors, the ill and unemployed. And his people's movement ushers in the crowds and stadium applause among radio waves. But then the dream is shattered by riots, confusion, and iron hand of grim reality. But for a moment, Long John made a perfect pitch and the nameless, faceless little guy, the John Doe, became a hero.","Yes, sir, we're a great family, the John Does. We are the meek who are -- who are supposed to inherit the earth. You'll find us everywhere. We raise the crops; we dig the mines, work the factories, keep the books, fly the planes and drive the busses. And when a cop yells: 'Stand back there, you!' He means us, the John Does! We have existed since time began. We built the pyramids. We saw Christ crucified, pulled the oars for Roman emperors, sailed the boats for Columbus, retreated from Moscow with Napoleon and froze with Washington at Valley Forge...if each and every John Doe would make that spirit last 365 days out of the year, we'd develop such strength, we'd create such a tidal wave of good will that no human force could stand against it. Yes sir, my friends, the meek can only inherit the earth when the John Doe's start lovin' their neighbors. You better start right now. Don't wait till the game is called on account of darkness. Wake up, John Doe. You're the hope of the world.",LongJohnWilloughby.jpg
106,Kazuko,"The daughter in a post-war, fading aristocratic family who struggles materially and socially. A tortured soldier suicidal for a brother; a sick, dying, hapless woman for a mother; an anguished alcoholic author for a lover, Kazuko bears a heavy load as a Japanese young woman in a changing world. She writes soul-wrenching letters waiting and waiting for an outlet, a chance, a hope. We feel the heart-engulfing experience of industrializing modernity transitioning into a new period. Kazuko embraces such a change in family, in love, in herself toward an unknown future. We know now a falling aristocrat can still be a heroine and heaven waits to answer her soul-wrenching letters to the meek.","To wait. In our lives we know joy, anger, sorrow, and a hundred other emotions, but these emotions all together occupy a bare one percent of our time. The remaining ninety-nine percent is just living in waiting. I wait in momentary expectation, feeling as though my breasts are being crushed, for the sound in the corridor of the footsteps of happiness. Empty. Oh, life is too painful, the reality that confirms the universal belief that it is best not to be born.",Kazuko.jpg
107,Olga Treskovna,"The unknown hidden talent born and raised in a dusty Pennsylvania coal mining town. Olga fights her way into Hollywood show business, appreciating any luck along the way. With a twinkle spark in a star, a spirit of song and smiles, Olga never forgot where she came from. Playing the role of a revolutionary, godly crusader, Olga herself becomes a crusader for the meek: the tired brood of her people in a dusty coal town. The kind, beautiful unknown actress even gives her life for an ideal beyond herself. And when death seems to close the door, bury her story and talent in a vault, Olga's spirit lives on to create miracles. Rest in peace, Olga, among the meek in that promised land where all stories are told and never forgotten.","I hope it's true. Because I didn't play Joan alone. A lot of people played her, people you never seen or heard: my dad, and all the other poor, sad people of Coaltown...I want you to know it and remember why I did it, why I kept on...it's because of all those poor people, all those people I came from who have hopes and dreams in them and never get a chance. They just work and die and all the nice things inside them never come out. And Bill, I came out of them. When they hear me, they'll know it's their own hearts speaking. When they see my name shining in all the theaters, it will be something of theirs shining. Oh, Bill, I'm very happy. I did my job.",OlgaTreskovna.jpg
108,Joey Crown,"The small town New York musician who battles hopelessness and purposelessness. Joey Crown only has a beloved trumpet and a bottle to get through the days. Broke and broken, an aimless alcoholic nobody without a girlfriend, prospects, rotting away in a crummy one-roomer with dirty walls and cracked pipes. Little wonder he can pour out his soul in a brass instrument and make audiences cry. Sure Joey had enough and stepped off a curb but a second chance gave him purpose and direction again, an empty life filled with space and volume. Even in his catharsis we believe the hard luck among us can catch a break, win in the end even if that end is when Gabriel blows his horn."," Because I'm sad. Because I'm nothing. Because I'll live and die in a crummy one-roomer with dirty walls and cracked pipes and I don't even have a girl. I'm going to be a nobody whose half of me is this horn. I can't even talk to people, Baron, because this horn -- that's half my language. But when I'm drunk, Baron...oh, when I'm drunk, boy...I don't see the dirty walls or the cracked pipes. I don't know the clock's going, that the hours are going by. 'Cause then I'm Gabriel. I'm...I'm Gabriel with the golden horn. And when I put it to my lips, it comes out jeweled. Comes out a symphony. Comes out the smell of...fresh flowers in summer. Comes out beauty. Beauty. When I'm drunk, Baron. Only when I'm drunk.",JoeyCrown.jpg
109,Sun Bak,"An expert-trained martial artist with a soft, inner core. Betrayed by family, abandoned by friends, daily attacked in a prison, Sun endures with a gentle, fighting spirit. She helps impossible odds around the world and surmounts the evils, the bullies, the snakes. Even on a hard-bent focus for revenge, friends in spirit help her see the way. A revolutionary at heart, a romantic deep within, we no longer question if a fist, a jab, a hook, a kick is a harder blow than the heart and mind. With Sun Bak on the frontlines, there indeed is nothing more mightier than the meek. And fighting for the nameless and faceless, the meek together can inherit the earth",,SunBak.jpg
110,Morph,"Anyone who wonders if superheros are frail, that courage with superpowers is fragile, that fear incarnate can shape a soul, look no further than Morph. The jokester shapeshifter was a crucial member of a team. Then in a heartbeat became an abandoned, throwaway character. And since then Morph fought his way back from nightmares of sentinels all alone. Yes, his confidence is shaky. Yes, in crucial moments of combat, he froze. And yes, he may never trust his mental fortitude completely. But no, this estranged X-Men is not a loser. He won the hearts and minds of any human or mutant who beat hard odds, stayed true to themselves, stared Fear itself in the face and survived.",,Morph.jpg
111,Mariner,"Only a metaphor for a larger theme but the hopeless character comes to life in the opening stanza. For we all could see the mariner, the weary, stranded, drifting lost soul in the depths of a wide sea. We all pushed on in the dark, all alone, hoping to find that harbor of friendship and love. The unnamed mariner embodies the numbed anguish of loneliness, the despondent desire for something else. His ship-wrecked woe, his brooding tortured soul, his fateful demise encompasses the tragic human condition of the meek. Mute and longing, he drowns in the darkness but still hopes while sinking into the limitless deep -a fire that no water could put out.","He is ever drifted on/ O'er the unreposing wave/To the haven of the grave./What, if there no friends will greet;/What, if there no heart will meet/His with love's impatient beat;/Wander wheresoe'er he may,/Can he dream before that day/To find refuge from distress/In friendship's smile, in love's caress?",Mariner.jpg
112,Desmond Hume,"The English-Scotsman who tried everything to prove himself a good man. As a monk, in the army, running a race around the world, pushing a button every 108 minutes for 3 long years in an underground vault on a mysterious island, Desmond tried and tried. And in his trials and tribulations, in all his sincerity, he did win the love of a faithful, loyal woman. But still lost in time and space, enduring dangers and risks, Desmond keeps on trying to reunite a lost heart with a found one. Aye, we all were once penniless and broken, fighting to prove our worth with only love to keep us going. So Desmond's story is one of the commoner's, and makes him indeed our brother.",,DesmondHume.jpg
113,Warehouse Worker,"The warehouse city worker who sits at his desk and keeps a long, abstracted gaze outside the window, day in and day out. So calm, so steadfast, tinged with quiet, accepting sadness even captures the wonderment of neighbors across the street. Amidst the din and chaos of daily hustle and bustle, the many thousand/million peopled traffic, all the sights and sounds, the nameless warehouse worker never flinches or waivers, stirs or moves. Nothing of interest catches his eye. No angry or joyous thought changes his expression. He just sits and states in somber brooding. His epic silence and mysterious looks seems to imbibe all the throe and woe of the human condition, of human thought and feeling, and does so loud and clear.","'Child, child', it said, 'have patience and belief, for life is many days, and each present hour will pass away...we who have stormed the ramparts of the furious earth and been hurled back, we who have been maddened by the unknowable and bitter mystery of love, we who have hungered after fame and savoured all of life, the tumult, pain, and frenzy, and now sit quietly by our windows watching all that henceforth never more shall touch us...We have outlived the shift and glitter of so many fashions, we have seen so many things that come and go, so many words forgotten, so many flames that flared and were destroyed; yet we know now we are strangers whose footfalls have not left a print upon the endless streets of life. We shall not go into the dark again, nor suffer madness, nor admit despair: we have built a wall about us now. We shall not strike against the wall at night and cry no more! We shall not hear the docks of time strike out on foreign air, nor wake at morning in some alien land to think of home: our wandering is over, and our hunger fed. O brother, son, and comrade, because we have lived so long and seen so much, we are content to make our own a few things now, letting millions pass.'",WarehouseWorker.jpg
114,Oscar de León,"The young hombre who find himself a misfit for being born. A nerd, overweight kid from New Jersey who never had a chance and wanted what all raging, hormonal Western boy wants: action-packed comics; imaginative thrilling sci-fi fantasy; the soft, tender touch of a female peer; the cool respect of male cliques. Oscar got a little of the former, but not much of the latter. The second-generation Dominican tries to go on somehow through the high school, college, career years. But with family curses above, a tragic island story behind, suicidal attempts over a bridge, a minority enclave all around, friends, sister, mother could not save the hard-luck kid. The frustrated Oscar dies for that little bit of normalcy, the touch and taste, all the regular world knows but not his meek kind.",So this is what everybody's always talking about! Diablo! If only I'd known. The beauty! The beauty!,OscarDeLeon.jpg
115,Mr. Gruffydd,"The recent university-educated preacher who joins the Welsh coal mining town with a heart and spirit ready to lead a chapel and community. Along the way, he mentors a child with an unfortunate accident, ordains a wedding and funeral, guides a weary, bitter flock, and falls in love. But Mr. Gruffyd keeps his heart in his work and God, denying his human side. And yet unfortunately, the inspired, young preacher meets the hard, superstitious, fearful, black ignorance of religious zealots who knows all the laws but not the love. Eventually, a now broke-hearted, weary preacher, Mr. Gruffyd must leave giving up the Alexander-charged army for golden truth. But for a time, Mr. Gruffydd was part of the last greenery before the black coal dust descended on the village","Huw, I thought when I was a young man that I would conquer the world with truth. I thought I would lead an army greater than Alexander ever dreamed of, not to conquer nations, but to liberate mankind. With truth. With the golden sound of the Word. But only a few of them heard. Only a few of you understood. The rest of you put on black and sat in Chapel. Why do you come here? Why do you dress your hypocrisy in black and parade before your God on Sunday? From love? No. For you have shown that your hearts are too withered to receive the love of your Divine Father. I know why you have come - I have seen it in your faces Sunday after Sunday as I've stood here before you. Fear has brought you here. Horrible, superstitious fear. Fear of divine retribution - a bolt of fire from the skies. The vengeance of the Lord and the justice of God. But you have forgotten the love of Jesus. You disregard His sacrifice.",MrGruffydd.jpg
116,Rick Blaine,"The jaded club owner in a foreign country caught up in war-torn times, desperate people, and crime infestation in every corner, Rick Blaine is a weary expatriate with a broken heart. And even as time goes by, he wants to mind his own business and let the world war rage on. But then an old love stirs his dead embers of a heart, reminding him of love-filled times in Paris that ended in a rainy moment at a train station. Yet color, light, even purpose begins filling in him. He finds closure to his heartbreak and now aims to save lives across continents, siding with the Allies. Rick no longer dwells in the past but keeps it as a token and treasure even if little peoples' lives don't amount to a hill of beans in a crazy world.",,RickBlaine.jpg
117,"Singer, I Ain't Got No Home","The hard-luck John Doe, dispossessed and disenfranchised, struggling to make ends meet in a sea-widening world of rich and poor. A wandering worker trying to find the breadcrumbs of livelihood; a farmer with paltry returns on yields, the singer is a weary, lone soul who loses the little he had from the storms of the economy. And the police, a banker, the rich man make the road a little bit longer and the load a little bit harder. Then the narrator tells of brothers and sisters trying their luck elsewhere to no avail, and a poor wife who passes away. Our luckless, hapless hero, poor little guy, show us the savage jungle our garden Earth can be with its peopled systems and that life is hard and then you die.","I ain't got no home, I'm just a-roamin' 'round,/ Just a wandrin' worker, I go from town to town./ And the police make it hard wherever I may go/ And I ain't got no home in this world anymore./ Was a-farmin' on the shares, and always I was poor;/ My crops I lay into the banker's store./ My wife took down and died upon the cabin floor,/ And I ain't got no home in this world anymore./ ...Now as I look around, it's mighty plain to see/ This world is such a great and a funny place to be;/ Oh, the gamblin' man is rich an' the workin' man is poor,/ And I ain't got no home in this world anymore.",SingerIAintGotNoHome.jpg
118,"Singer, Piano Man","The musician who plays for the derelicts and strays, the hopeless and mundane of the world, the lost and lonely on a Saturday night. The piano man comes to be the only color to their dull lives, reminding the old of a lost youth, the failures of old ambitions, the lonesomeness of a small company. And in his rhythmic crooning and piano strokes, the piano man himself is part of the meek bar crowd. He too knows and feels and sings away abandoned hours, heartsick blues, life ever after for the has-beens and left-outs. Who knew music could bring together a hard-luck people? Indeed if ever misery loves company, for a span in time and space it did so with the power of music.","Now Paul is a real estate novelist/ Who never had time for a wife/ And he's talkin' with Davy, who's still in the Navy/ And probably will be for life/ And the waitress is practicing politics/ As the businessmen slowly get stoned/ Yes, they're sharing a drink they call loneliness/ But it's better than drinkin' alone/ Sing us a song you're the piano man/ Sing us a song tonight/ Well we're all in the mood for a melody/ And you got us feeling alright",SingerPianoMan.jpg
119,Mr. Kaplan,"The cleaner who was a faithful, dutiful servant with one goal held firmly to the end. And when a fork in the road made it time to choose, Mr. Kaplan held resolute in her convictions. A sweet, endearing nanny to a child she held on as a quiet protector. But for her firm oath, Kate was gunned down and left for dead in an empty field. Poor Mr. Kaplan who cleaned up so many dead bodies nearly became one herself all because she obeyed an old promise that required disobeying a new one. Mr. Kaplan stayed on in the shadows of a criminal empire: sacrificing, denying herself, losing loved ones along the way. And at another fork in the road, Mr. Kaplan leaped into the abyss, ending the endless questions of good or evil, friend or foe, hero or villain?",,MrKaplan.jpg
120,"Old Man in Dark in the Forest, Strange As Time","The genial spirit who spent his last hours on a train in Germany conversing with a stranger. Warm-spirited, heavy-accented the dying old man exchanges politely and passionately in a human moment. Seeking health, departing from a loved one, curiously questioning of the who-where-when, the elderly man is a mysterious interesting fellow. But we see his world-weariness, all the long miles trekked in his soul. He sits in contrast to the hot-tempered, blood-roaring, excited young man he talks with on the train. Where his conversational companion hungers for all the rivers, hills, fields, towns, cities, peoples, the old man wants just one: one life, one time, one place. After passing quietly away, he teaches us that in all of life a little is enough.","You are very young. Yes. Now, you vant to see it all and to haf it all -but you haf nothing. Zat is right -Yes? Zat vill all change. Some day you vill vant only a little -maybe, then, you haf a little. And dat iss better -Yes? I know. I know. Myself, I had gone everyvere like you. I haf tried to see everyt'ing -and I haf had nothing. Now I go no more. Everyvere it iss de the same. Fields, hills, mountains, rifers, cities, peoples -You vish to know about zem all. One field, one hill, rifer...zat iss enough!...One life, one place, one time.",OldManDarkInTheForestStrangeAsTime.jpg
